station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
INSURGENTES,1,FRIDAY,16:17,20:20,DOMESTIC VIOLENCE (VERBAL AND PHYSICAL),DOMESTIC VIOLENCE,WOMAN,26,MAN,20,
ISABEL LA CATÓLICA,1,FRIDAY,17:33,18:18,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,14,MAN,25,
INSURGENTES,1,MONDAY,08:35,09:38,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,27,MAN,72,
ZARAGOZA,1,WEDNESDAY_,10:13,10:50,TOUCHING OF BUTTOCKS AND GENITALS,SEXUAL ASSAULT,WOMAN,40,MAN,21,
PINO SUÁREZ,1,WEDNESDAY_,13:12,13:55,TOUCHING OF BREAST,SEXUAL ASSAULT,WOMAN,28,MAN,19,
ZÓCALO,2,WEDNESDAY_,14:45,20:25,FRICTION ON BREASTS,SEXUAL ASSAULT,WOMAN,29,MAN,29,
ACATITLA,A,FRIDAY,09:45,19:10,TOUCHING OF BUTTOCKS AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,19,MAN,26,
ZÓCALO,2,FRIDAY,16:22,16:45,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,44,
HOSPITAL GENERAL,3,MONDAY,11:04,18:40,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,47,
TACUBAYA,7,TUESDAY,09:37,17:10,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,31,MAN,23,
VALLE GÓMEZ,5,TUESDAY,11:40,12:20,MASTURBATION,SEXUAL ASSAULT,WOMAN,20,MAN,42,
PANTITLÁN,1,WEDNESDAY_,16:35,23:20,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,28,MAN,24,
BALDERAS,1,WEDNESDAY_,09:09,09:33,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,27,MAN,37,
CERRO DE LA ESTRELLLA ,8,WEDNESDAY_,11:29,12:12,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,31,MAN,38,
PINO SUÁREZ,1,THURSDAY,09:15,16:15,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,32,
PINO SUÁREZ,1,THURSDAY,10:40,00:49,TOUCHING OF LEG,SEXUAL ASSAULT,WOMAN,1,MAN,34,
PANTITLÁN,5,THURSDAY,13:14,22:00,TOUCHING OF BUTTOCKS AND LEG,SEXUAL ASSAULT,WOMAN,17,MAN,43,
VIVEROS,3,TUESDAY,17:14,00:51,TOUCHING OF INNER THIGH AND LEG,SEXUAL ASSAULT,WOMAN,20,MAN,51,
ACATITLA,A,WEDNESDAY_,09:20,20:55,TOUCHING OF GENITALS AND EJACULATION,SEXUAL ASSAULT,MAN,18,MAN ,48,
TACUBAYA,2,WEDNESDAY_,09:10,17:10,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,26,MAN,30,
