station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
MERCED,1,THURSDAY,08:45,17:22,TOUCHING OF RIGHT BUTTOCK AND GROIN,SEXUAL ASSAULT,WOMAN,23,MAN,23,
CHABACANO,9,THURSDAY,19:41,21:38,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,33,MAN,37,
SAN LÁZARO,1,FRIDAY,08:27,16:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,24,MAN,24,
ERMITA,2,FRIDAY,09:47,11:30,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,30,MAN,47,
GUERRERO,3,TUESDAY,09:39,13:30,DOMESTIC VIOLENCE (PHYSICAL AND VERBAL),DOMESTIC VIOLENCE,WOMAN,49,MAN,54,
BELLAS ARTES,2,WEDNESDAY,10:15,11:20,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,17,MAN,30,
HIDALGO,2,WEDNESDAY,13:37,13:50,VEXATION (VERBAL AGRESSION),SEXUAL HARASSMENT,WOMAN,23,MAN,67,
ERMITA,12,TUESDAY,14:03,15:07,VERBAL SEXUAL HARASSMENT AND PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,20,MAN,48,
BALDERAS,3,TUESDAY,15:56,18:13,VEXATION (VERBAL AGRESSION),SEXUAL HARASSMENT,WOMAN,20,MAN,32,
TACUBAYA,9,THURSDAY,13:20,21:06,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,32,MAN,27,
ZÓCALO,2,THURSDAY,12:37,19:01,DOMESTIC VIOLENCE (AGRESIÓN FÍSICA Y VERBAL),DOMESTIC VIOLENCE,WOMAN,31,MAN,26,
BALDERAS,1,THURSDAY,13:47,21:15,TOUCHING OF LEFT BUTTOCK,SEXUAL ASSAULT,WOMAN,20,MAN,19,
INDIOS VERDES,3,MONDAY,10:10,10:43,TOUCHING OF LEFT BUTTOCK,SEXUAL ASSAULT,WOMAN,24,MAN,30,
PINO SUÁREZ,1,WEDNESDAY,07:55,19:00,TOUCHING OF GENITALS,SEXUAL ASSAULT,MAN,13,MAN,39,
MORELOS,4,WEDNESDAY,13:00,20:10,MASTURBATION Y GENITAL EXHIBITIONISM,SEXUAL HARASSMENT,WOMAN,23,MAN,26,
POTRERO,3,THURSDAY,09:20,10:00,TOUCHING OF BREAST IZQUIERDO,SEXUAL ASSAULT,WOMAN,23,MAN,44,
MOCTEZUMA,2,THURSDAY,17:29,20:36,TOUCHING OF BREAST IZQUIERDO,SEXUAL ASSAULT,WOMAN,20,MAN,21,
VELODROMO,9,MONDAY,09:00,15:45,TOUCHING OF INNER THIGH Y VIDEO RECORDING,SEXUAL ASSAULT,WOMAN,21,MAN,31,
INDIOS VERDES,3,TUESDAY,09:15,18:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,39,
AUDITORIO,7,WEDNESDAY,09:22,10:20,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,29,
MERCED,1,WEDNESDAY,12:15,15:30,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,20,MAN,38,
CHAPULTEPEC,1,WEDNESDAY,18:00,18:42,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,19,MAN,42,
TACUBAYA,7,FRIDAY,17:50,18:55,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,40,MAN,28,
BALDERAS,3,MONDAY,08:20,09:00,TOUCHING OF BUTTOCKS AND GROIN,SEXUAL ASSAULT,WOMAN,15,MAN,33,
CANAL DE SAN JUAN,A,MONDAY,09:00,15:32,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,26,MAN,35,
HIDALGO,2,TUESDAY,09:08,09:38,FRICTION_ OF PENIS ON BUTTOCKS ,SEXUAL ASSAULT,WOMAN,22,MAN,25,
BALDERAS,3,WEDNESDAY,10:23,18:55,DOMESTIC VIOLENCE (VERBAL AGRESSION),DOMESTIC VIOLENCE,WOMAN,65,MAN,69,
TACUBA,2,WEDNESDAY,19:58,03:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,84,MAN,48,
CONSTITUCIÓN DE 1917,8,THURSDAY,18:55,23:06,TOUCHING OF BUTTOCK,SEXUAL ASSAULT,WOMAN,49,MAN,51,
INDIOS VERDES,3,MONDAY,09:51,10:30,FRICTION OFPENIS ON BUTTOCKS ,SEXUAL ASSAULT,WOMAN,27,MAN,41,
BALDERAS,1,MONDAY,09:46,15:55,TOUCHING OF BUTTOCKS AND LEFT THIGH,SEXUAL ASSAULT,WOMAN,30,MAN,38,
BELLAS ARTES,8,WEDNESDAY,15:31,23:30,TOUCHING OF ENTIRE BODY,SEXUAL ASSAULT,WOMAN,17,MAN,17,NO ARREST
SAN LÁZARO,1,WEDNESDAY,13:00,15:42,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,31,MAN,22,
LA RAZA,3,THURSDAY,08:38,15:45,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,40,MAN,33,
HOSPITAL GENERAL,3,THURSDAY,18:50,02:29,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,MAN,14,MAN,55,
OBRERA,8,FRIDAY,15:13,01:00,TOUCHING OF LEFT LEG,SEXUAL ASSAULT,WOMAN,22,MAN,49,
BALDERAS,1,MONDAY,08:55,19:40,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,25,MAN,47,
AGRICOLA ORIENTAL,A,MONDAY,13:58,14:42,PICTURE TAKING,SEXUAL HARASSMENT,WOMAN,19,MAN,36,
SALTO DEL AGUA,1,WEDNESDAY,15:11,22:28,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,19,MAN,38,
SALTO DEL AGUA,8,WEDNESDAY,17:23,19:20,VEXATION (VERBAL AGRESSION),SEXUAL ASSAULT,WOMAN,31,MAN,27,
SAN COSME,2,FRIDAY,09:52,19:30,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,16,MAN,62,
PINO SUÁREZ,1,MONDAY,08:10,08:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,35,MAN,36,
PANTITLÁN,5,WEDNESDAY,09:35,00:30,DOMESTIC VIOLENCE (VERBAL AGRESSION),DOMESTIC VIOLENCE,WOMAN,22,MAN,22,NO ARREST
 PEÑON VIEJO,A,FRIDAY,08:50,18:05,TOUCHING OF LEGS AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,20,MAN,34,
ATLALILCO,12,FRIDAY,08:50,13:50,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,34,MAN,54,
JUÁREZ,3,TUESDAY,19:55,21:00,TOUCHING OF PUBICAREA AND BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,28,NO ARREST
AGRICOLAORIENTAL,A,WEDNESDAY,08:30,13:45,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,33,MAN,52,
ZARAGOZA,1,THURSDAY,11:07,20:38,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,25,MAN,18,
HIDALGO,3,THURSDAY,17:35,20:53,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,28,MAN,22,
CENTRO MÉDICO,3,FRIDAY,10:45,22:00,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,26,MAN,57,
SALTO DEL AGUA,1,FRIDAY,11:20,22:04,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,28,MAN,29,
BELLAS ARTES,2,FRIDAY,19:56,04:40,TOUCHING OF RIGHT THIGH,SEXUAL ASSAULT,WOMAN,24,MAN,31,
INDIOS VERDES,3,MONDAY,10:27,21:07,TOUCHING OF INNER THIGHS,SEXUAL ASSAULT,WOMAN,22,MAN,26,
HIDALGO,3,MONDAY,10:15,17:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,32,MAN,24,
LÁZARO CARDENAS,9,MONDAY,15:11,00:44,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,26,
BELLAS ARTES,2,TUESDAY,15:40,02:08,FRICTION OF PENIS ON BUTTOCKS ,SEXUAL ASSAULT,WOMAN,25,MAN,16,
VIADUCTO,2,WEDNESDAY,09:57,17:38,TOUCHING AND FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,12,MAN,31,
BELLAS ARTES,8,WEDNESDAY,14:50,03:00,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,43,MAN,35,
JUÁREZ,3,THURSDAY,09:20,18:55,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,23,MAN,50,
CANAL DE SAN JUAN,A,THURSDAY,11:10,13:05,PICTURE TAKING AND OR VIDEO RECORDING,SEXUAL HARASSMENT,WOMAN,15,MAN,32,
GUERRERO,3,FRIDAY,16:47,17:20,VERBAL AGRESSION AND PHYSICAL,VEXATION,WOMAN,24,MAN,43,
GUELATAO,A,MONDAY,08:50,15:48,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,28,MAN,54,
GUERRERO,3,MONDAY,14:05,19:00,TOUCHING OF GENITALS,SEXUAL ASSAULT,WOMAN,13,MAN,31,
ZOCALO,2,TUESDAY,16:51,00:47,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,63,
CHILPANCINGO,9,THURSDAY,10:37,17:16,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,36,MAN,34,
FUERA DE LAS INSTALACIONES DEL STC ( PASILLO QUE CONDUCE HACIA EL PARADERO SUR DE TASQUEÑA),2,FRIDAY,19:00,03:00,TOUCHING OF LEFT BUTTOCK,SEXUAL ASSAULT,WOMAN,24,MAN,18,
AUDITORIO,7,THURSDAY,10:14,11:12,TOUCHING OF RIGHT BUTTOCK,SEXUAL ASSAULT,WOMAN,30,MAN,20,
INDIOS VERDES,3,FRIDAY,14:39,19:49,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,29,MAN,49,
HIDALGO,2,MONDAY,10:50,11:05,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,MAN,37,MAN,62,
REFINERIA,7,MONDAY,15:15,20:09,TOUCHING OF BREAST AND RIGHT LEG,SEXUAL ASSAULT,WOMAN,38,MAN,36,
DEPORTIVO 18 DE MARZO,3,FRIDAY,19:42,05:09,TOUCHING OF LEFT BREAST,SEXUAL ASSAULT,WOMAN,25,MAN,56,
CHAPULTEPEC,1,FRIDAY,16:42,20:05,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,43,MAN,62,
